cell_id_hex	n0_hex	n1_hex	n2_hex	n3_hex
0x6000040000000000	0x3555540000000000	0x60000c0000000000	0x60001c0000000000	0x5ffffc0000000000
0x6000010000000000	0x3555550000000000	0x6000070000000000	0x6000030000000000	0x5fffff0000000000
0x8400000000000000	0x7c00000000000000	0x9c00000000000000	0x8c00000000000000	0x5400000000000000
0x8100000000000000	0x7f00000000000000	0x8300000000000000	0x8700000000000000	0x5500000000000000
0x8040000000000000	0x7fc0000000000000	0x81c0000000000000	0x80c0000000000000	0x5540000000000000
0x8010000000000000	0x7ff0000000000000	0x8030000000000000	0x8070000000000000	0x5550000000000000
0x8004000000000000	0x7ffc000000000000	0x801c000000000000	0x800c000000000000	0x5554000000000000
0x8001000000000000	0x7fff000000000000	0x8003000000000000	0x8007000000000000	0x5555000000000000
0x8000400000000000	0x7fffc00000000000	0x8001c00000000000	0x8000c00000000000	0x5555400000000000
0x8000100000000000	0x7ffff00000000000	0x8000300000000000	0x8000700000000000	0x5555500000000000
0x8000040000000000	0x7ffffc0000000000	0x80001c0000000000	0x80000c0000000000	0x5555540000000000
0x8000010000000000	0x7fffff0000000000	0x8000030000000000	0x8000070000000000	0x5555550000000000
0xa400000000000000	0x7400000000000000	0xac00000000000000	0xbc00000000000000	0x9c00000000000000
0xa100000000000000	0x7500000000000000	0xa700000000000000	0xa300000000000000	0x9f00000000000000
0xa040000000000000	0x7540000000000000	0xa0c0000000000000	0xa1c0000000000000	0x9fc0000000000000
0xa010000000000000	0x7550000000000000	0xa070000000000000	0xa030000000000000	0x9ff0000000000000
0xa004000000000000	0x7554000000000000	0xa00c000000000000	0xa01c000000000000	0x9ffc000000000000
0xa001000000000000	0x7555000000000000	0xa007000000000000	0xa003000000000000	0x9fff000000000000
0xa000400000000000	0x7555400000000000	0xa000c00000000000	0xa001c00000000000	0x9fffc00000000000
0xa000100000000000	0x7555500000000000	0xa000700000000000	0xa000300000000000	0x9ffff00000000000
0xa000040000000000	0x7555540000000000	0xa0000c0000000000	0xa0001c0000000000	0x9ffffc0000000000
0xa000010000000000	0x7555550000000000	0xa000070000000000	0xa000030000000000	0x9fffff0000000000
